hour,occupancy_index,occupancy_text,day,av_time_spent,place_id,name,vicinity
6,0,,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
8,0,,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,7,Usually not busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,12,Usually not busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,19,Usually not busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,25,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,32,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,39,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,46,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,49,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,46,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,38,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,44,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,92,Usually as busy as it gets,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,100,Usually as busy as it gets,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,36,Usually not too busy,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Sunday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
